Role,Category,ListHeadingNbr,ListItem,Content,Company,Role_Start_Date,Role_End_Date,icon
Candidate Engineer,notable work,1,0,Inventory management:,Sasol,2013/01/01,2014/06/30,cubes
Candidate Engineer,notable work,1,1,Evaluating inventory models for various stocking strategies.,Sasol,2013/01/01,2014/06/30,cubes
Candidate Engineer,notable work,1,2,"Design of inventory framework on what items to store ie. consignment, vendor held etc.",Sasol,2013/01/01,2014/06/30,cubes
Candidate Engineer,notable work,2,0,Project management on factory unit replacement,Sasol,2013/01/01,2014/06/30,stream
Candidate Engineer,notable work,2,1,"Heater replacement, done in 3 weeks, was on the critical path, the startup for this unit was on time.",Sasol,2013/01/01,2014/06/30,stream
Candidate Engineer,notable work,2,2,"Management of unit upgrades for the entire factory to adhere to fuel specifications in 5 years time, the startup for this unit
completed ahead of time.",Sasol,2013/01/01,2014/06/30,stream
Candidate Engineer,notable work,3,0,Supply Chain Optimisation,Sasol,2013/01/01,2014/06/30,truck
Candidate Engineer,notable work,3,1,"Build a value stream map to identify bottlenecks in the Ammonia supply chain. Designs on different solutions to optimise the supply chain. After the project, the analysis, design and value stream map was used as the base for managing the logistics of the supply chain, which lead to a significant cost saving of R70 Million over the course of 2 years. ",Sasol,2013/01/01,2014/06/30,truck
Candidate Engineer,notable work,4,0,"Passed my candidate engineering panel, thereafter recommended to start performing as an engineer level1.",Sasol,2013/01/01,2014/06/30,user-graduate
Reliability Engineer,notable work,5,0,Notable work,Sasol,2014/07/01,2016/09/30,exclamation-circle
Reliability Engineer,notable work,5,1,"Rewrote the entire root cause analysis work method, in excel, this saved 50% of the users time in doing the analysis and
completing the document and capturing the data more accurately.",Sasol,2014/07/01,2016/09/30,exclamation-circle
Reliability Engineer,notable work,5,2,"Automated the MTBF data analysis in excel to produce a dashboard ease of use. This saved a weeks worth of work for the
technicians every month.",Sasol,2014/07/01,2016/09/30,exclamation-circle
Reliability Engineer,notable work,5,3,Automated the reliability engineering reports which cut the time it took to produce the report by 25%.,Sasol,2014/07/01,2016/09/30,exclamation-circle
Reliability Engineer,notable work,5,4,Many other VBA written tools to optimise day-to-day workflow & reporting.,Sasol,2014/07/01,2016/09/30,exclamation-circle
